,Abyssocucumis abyssorum,Acanthascinae,Acanthoptilum,Actinernus,Actiniaria,Actinopterygii,Amphipoda,Apostichopus leukothele,Asbestopluma,Asbestopluma monticola,Asteroidea,Benthocodon pedunculata,Brisingida,Caridea,Ceriantharia,Chionoecetes tanneri,Chorilia longipes,Corallimorphus pilatus,Crinoidea,Delectopecten,Elpidia,Farrea,Florometra serratissima,Funiculina,Munnopsidae,Mycale,Octopus rubescens,Ophiacanthidae,Ophiuroidea,Paelopatides confundens,Pandalus amplus,Pandalus platyceros,Gastropoda,Gersemia juliepackardae,Heterocarpus,Heterochone calyx,Heteropolypus ritteri,Hexactinellida,Hippasteria,Holothuroidea,Hormathiidae,Isidella tentaculum,Isididae,Isosicyonis,Keratoisis,Liponema brevicorne,Lithodidae,Mediaster aequalis,Merluccius productus,Metridium farcimen,Microstomus pacificus,Munidopsis,Pannychia moseleyi,Paragorgia,Paragorgia arborea,Paralomis multispina,Parastenella,Peniagone,Pennatula phosphorea,Porifera,Psathyrometra fragilis,Psolus squamatus,Ptychogastria polaris,Pyrosoma atlanticum,Rathbunaster californicus,Scleractinia,Scotoplanes,Scotoplanes globosa,Sebastes,Sebastes diploproa,Sebastolobus,Serpulidae,Staurocalyptus,Strongylocentrotus fragilis,Terebellidae,Tunicata,Umbellula,Vesicomyidae,Zoantharia
Merluccius productus,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,10,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,8,8,8,12,12,12,12,10,12,12,12
Metridium farcimen,12,12,10,6,6,12,12,12,12,12,12,10,12,12,8,12,12,8,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,6,10,10,6,10,6,12,12,12,0,12,12,12,10,10,12,10,12,10,12,12,12,10,12,12,8,12,12,12,12,12,12,12,12,12,12,10,12,8
Microstomus pacificus,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,0,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,10,10,10,12,12,12,12,10,12,12,12
Munidopsis,12,12,12,12,12,12,10,12,12,12,12,12,12,10,12,10,10,12,12,12,12,12,12,12,10,12,12,12,12,12,10,10,12,12,10,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,0,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Pannychia moseleyi,8,12,12,12,12,12,12,8,12,12,10,12,10,12,12,12,12,12,10,12,6,12,10,12,12,12,12,10,10,8,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,10,12,12,12,12,0,12,12,12,12,6,12,12,10,8,12,12,10,12,6,6,12,12,12,12,12,10,12,12,12,12,12
Paragorgia,12,12,6,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,6,12,12,12,12,12,12,12,12,12,8,12,12,4,12,12,12,10,6,8,10,6,10,12,12,12,10,12,12,12,0,2,12,6,12,6,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,6,12,10
Paragorgia arborea,12,12,6,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,6,12,12,12,12,12,12,12,12,12,8,12,12,4,12,12,12,10,6,8,10,6,10,12,12,12,10,12,12,12,2,0,12,6,12,6,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,6,12,10
Paralomis multispina,12,12,12,12,12,12,8,12,12,12,12,12,12,6,12,6,6,12,12,12,12,12,12,12,8,12,12,12,12,12,6,6,12,12,6,12,12,12,12,12,12,12,12,12,12,12,4,12,12,12,12,10,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Parastenella,12,12,6,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,6,12,12,12,12,12,12,12,12,12,8,12,12,6,12,12,12,10,6,8,10,6,10,12,12,12,10,12,12,12,6,6,12,0,12,6,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,6,12,10
Peniagone,8,12,12,12,12,12,12,8,12,12,10,12,10,12,12,12,12,12,10,12,4,12,10,12,12,12,12,10,10,8,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,10,12,12,12,12,6,12,12,12,12,0,12,12,10,8,12,12,10,12,4,4,12,12,12,12,12,10,12,12,12,12,12
Pennatula phosphorea,12,12,6,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,6,12,12,12,12,12,12,12,12,12,8,12,12,6,12,12,12,10,6,8,10,6,10,12,12,12,10,12,12,12,6,6,12,6,12,0,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,6,12,10
Porifera,12,10,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12
Psathyrometra fragilis,10,12,12,12,12,12,12,10,12,12,10,12,10,12,12,12,12,12,8,12,10,12,6,12,12,12,12,10,10,10,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,10,12,12,12,12,10,12,12,12,12,10,12,12,0,10,12,12,10,12,10,10,12,12,12,12,12,10,12,12,12,12,12
Psolus squamatus,6,12,12,12,12,12,12,8,12,12,10,12,10,12,12,12,12,12,10,12,8,12,10,12,12,12,12,10,10,8,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,10,12,12,12,12,8,12,12,12,12,8,12,12,10,0,12,12,10,12,8,8,12,12,12,12,12,10,12,12,12,12,12
Ptychogastria polaris,12,12,10,10,10,12,12,12,12,12,12,6,12,12,10,12,12,10,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,10,10,10,10,10,10,12,12,12,10,12,12,12,10,10,12,10,12,10,12,12,12,0,12,12,10,12,12,12,12,12,12,12,12,12,12,10,12,10
Pyrosoma atlanticum,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,10,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,10,10,10,12,12,12,12,10,12,12,12
Rathbunaster californicus,10,12,12,12,12,12,12,10,12,12,8,12,8,12,12,12,12,12,10,12,10,12,10,12,12,12,12,10,10,10,12,12,12,12,12,12,12,12,8,10,12,12,12,12,12,12,12,8,12,12,12,12,10,12,12,12,12,10,12,12,10,10,12,12,0,12,10,10,12,12,12,12,12,10,12,12,12,12,12
Scleractinia,12,12,10,8,8,12,12,12,12,12,12,10,12,12,8,12,12,8,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,8,10,10,8,10,8,12,12,12,8,12,12,12,10,10,12,10,12,10,12,12,12,10,12,12,0,12,12,12,12,12,12,12,12,12,12,10,12,8
Scotoplanes,8,12,12,12,12,12,12,8,12,12,10,12,10,12,12,12,12,12,10,12,4,12,10,12,12,12,12,10,10,8,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,10,12,12,12,12,6,12,12,12,12,4,12,12,10,8,12,12,10,12,0,2,12,12,12,12,12,10,12,12,12,12,12
Scotoplanes globosa,8,12,12,12,12,12,12,8,12,12,10,12,10,12,12,12,12,12,10,12,4,12,10,12,12,12,12,10,10,8,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,10,12,12,12,12,6,12,12,12,12,4,12,12,10,8,12,12,10,12,2,0,12,12,12,12,12,10,12,12,12,12,12
Sebastes,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12,10,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,0,2,4,12,12,12,12,10,12,12,12
Sebastes diploproa,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12,10,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,2,0,4,12,12,12,12,10,12,12,12
Sebastolobus,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12,10,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,4,4,0,12,12,12,12,10,12,12,12
Serpulidae,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,8,12,12,12,12
Staurocalyptus,12,4,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,10,12,12,12,12,12,12,12,12,12,8,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12
Strongylocentrotus fragilis,10,12,12,12,12,12,12,10,12,12,10,12,10,12,12,12,12,12,10,12,10,12,10,12,12,12,12,10,10,10,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,10,12,12,12,12,10,12,12,12,12,10,12,12,10,10,12,12,10,12,10,10,12,12,12,12,12,0,12,12,12,12,12
Terebellidae,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,0,12,12,12,12
