species,genus,family,order,class,phylum,kingdom
Pandalus platyceros,Pandalus,Pandalidae,Decapoda,Malacostraca,Arthropoda,Animalia
Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Mollusca,Animalia
Gersemia juliepackardae,Gersemia,Alcyoniidae,Malacalcyonacea,Octocorallia,Cnidaria,Animalia
Heterocarpus,Heterocarpus,Pandalidae,Decapoda,Malacostraca,Arthropoda,Animalia
Heterochone calyx,Heterochone,Aphrocallistidae,Sceptrulophora,Hexactinellida,Porifera,Animalia
Heteropolypus ritteri,Heteropolypus,Coralliidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Hexactinellida,Hexactinellida,Hexactinellida,Hexactinellida,Hexactinellida,Porifera,Animalia
Hippasteria,Hippasteria,Goniasteridae,Valvatida,Asteroidea,Echinodermata,Animalia
Holothuroidea,Holothuroidea,Holothuroidea,Holothuroidea,Holothuroidea,Echinodermata,Animalia
Hormathiidae,Hormathiidae,Hormathiidae,Actiniaria,Hexacorallia,Cnidaria,Animalia
Isidella tentaculum,Isidella,Keratoisididae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Isididae,Isididae,Isididae,Malacalcyonacea,Octocorallia,Cnidaria,Animalia
Isosicyonis,Isosicyonis,Actiniidae,Actiniaria,Hexacorallia,Cnidaria,Animalia
Keratoisis,Keratoisis,Keratoisididae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Liponema brevicorne,Liponema,Liponematidae,Actiniaria,Hexacorallia,Cnidaria,Animalia
Lithodidae,Lithodidae,Lithodidae,Decapoda,Malacostraca,Arthropoda,Animalia
Mediaster aequalis,Mediaster,Goniasteridae,Valvatida,Asteroidea,Echinodermata,Animalia
Merluccius productus,Merluccius,Merlucciidae,Gadiformes,Teleostei,Chordata,Animalia
Metridium farcimen,Metridium,Metridiidae,Actiniaria,Hexacorallia,Cnidaria,Animalia
Microstomus pacificus,Microstomus,Pleuronectidae,Pleuronectiformes,Teleostei,Chordata,Animalia
Munidopsis,Munidopsis,Munidopsidae,Decapoda,Malacostraca,Arthropoda,Animalia
Pannychia moseleyi,Pannychia,Laetmogonidae,Elasipodida,Holothuroidea,Echinodermata,Animalia
Paragorgia,Paragorgia,Coralliidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Paragorgia arborea,Paragorgia,Coralliidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Paralomis multispina,Paralomis,Lithodidae,Decapoda,Malacostraca,Arthropoda,Animalia
Parastenella,Parastenella,Primnoidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Peniagone,Peniagone,Elpidiidae,Elasipodida,Holothuroidea,Echinodermata,Animalia
Pennatula phosphorea,Pennatula,Pennatulidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Porifera,Porifera,Porifera,Porifera,,Porifera,Animalia
Psathyrometra fragilis,Psathyrometra,Zenometridae,Comatulida,Crinoidea,Echinodermata,Animalia
Psolus squamatus,Psolus,Psolidae,Dendrochirotida,Holothuroidea,Echinodermata,Animalia
Ptychogastria polaris,Ptychogastria,Ptychogastriidae,Trachymedusae,Hydrozoa,Cnidaria,Animalia
Pyrosoma atlanticum,Pyrosoma,Pyrosomatidae,Pyrosomatida,Thaliacea,Chordata,Animalia
Rathbunaster californicus,Rathbunaster,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Animalia
Scleractinia,Scleractinia,Scleractinia,Scleractinia,Hexacorallia,Cnidaria,Animalia
Scotoplanes,Scotoplanes,Elpidiidae,Elasipodida,Holothuroidea,Echinodermata,Animalia
Scotoplanes globosa,Scotoplanes,Elpidiidae,Elasipodida,Holothuroidea,Echinodermata,Animalia
Sebastes,Sebastes,Sebastidae,Perciformes,Teleostei,Chordata,Animalia
Sebastes diploproa,Sebastes,Sebastidae,Perciformes,Teleostei,Chordata,Animalia
Sebastolobus,Sebastolobus,Sebastidae,Perciformes,Teleostei,Chordata,Animalia
Serpulidae,Serpulidae,Serpulidae,Sabellida,Polychaeta,Annelida,Animalia
Staurocalyptus,Staurocalyptus,Rossellidae,Lyssacinosida,Hexactinellida,Porifera,Animalia
Strongylocentrotus fragilis,Strongylocentrotus,Strongylocentrotidae,Camarodonta,Echinoidea,Echinodermata,Animalia
Terebellidae,Terebellidae,Terebellidae,Terebellida,Polychaeta,Annelida,Animalia
Tunicata,Tunicata,Tunicata,Tunicata,,Chordata,Animalia
Umbellula,Umbellula,Umbellulidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Vesicomyidae,Vesicomyidae,Vesicomyidae,Venerida,Bivalvia,Mollusca,Animalia
Zoantharia,Zoantharia,Zoantharia,Zoantharia,Hexacorallia,Cnidaria,Animalia
