,Abyssocucumis abyssorum,Acanthascinae,Acanthoptilum,Actinernus,Actiniaria,Actinopterygii,Amphipoda,Apostichopus leukothele,Asbestopluma,Asbestopluma monticola,Asteroidea,Benthocodon pedunculata,Brisingida,Caridea,Ceriantharia,Chionoecetes tanneri,Chorilia longipes,Corallimorphus pilatus,Crinoidea,Delectopecten,Elpidia,Farrea,Florometra serratissima,Funiculina,Gastropoda,Gersemia juliepackardae,Heterocarpus,Heterochone calyx,Heteropolypus ritteri,Hexactinellida,Hippasteria,Holothuroidea,Hormathiidae,Isidella tentaculum,Isididae,Isosicyonis,Keratoisis,Liponema brevicorne,Lithodidae,Mediaster aequalis,Merluccius productus,Metridium farcimen,Microstomus pacificus,Munidopsis,Munnopsidae,Mycale,Octopus rubescens,Ophiacanthidae,Ophiuroidea,Paelopatides confundens,Pandalus amplus,Pandalus platyceros,Pannychia moseleyi,Paragorgia,Paragorgia arborea,Paralomis multispina,Parastenella,Peniagone,Pennatula phosphorea,Porifera,Psathyrometra fragilis,Psolus squamatus,Ptychogastria polaris,Pyrosoma atlanticum,Rathbunaster californicus,Scleractinia,Scotoplanes,Scotoplanes globosa,Sebastes,Sebastes diploproa,Sebastolobus,Serpulidae,Staurocalyptus,Strongylocentrotus fragilis,Terebellidae,Tunicata,Umbellula,Vesicomyidae,Zoantharia
Asteroidea,6.0,7.0,7.0,7.0,5.0,4.0,5.0,6.0,7.0,8.0,0.0,8.0,1.0,6.0,5.0,8.0,8.0,8.0,2.0,7.0,5.0,7.0,6.0,7.0,4.0,8.0,8.0,8.0,8.0,4.0,3.0,2.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,4.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,4.0,2.0,6.0,9.0,9.0,6.0,7.0,8.0,8.0,7.0,5.0,8.0,3.0,6.0,6.0,8.0,9.0,4.0,5.0,5.0,6.0,8.0,9.0,8.0,6.0,7.0,6.0,6.0,4.0,7.0,6.0,5.0
Benthocodon pedunculata,12.0,11.0,9.0,9.0,7.0,8.0,9.0,12.0,11.0,12.0,8.0,0.0,9.0,10.0,7.0,12.0,12.0,10.0,8.0,11.0,11.0,11.0,12.0,9.0,8.0,10.0,12.0,12.0,10.0,8.0,11.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,12.0,13.0,10.0,13.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,9.0,10.0,12.0,9.0,11.0,10.0,7.0,12.0,12.0,6.0,13.0,12.0,7.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,9.0,10.0,7.0
Brisingida,7.0,8.0,8.0,8.0,6.0,5.0,6.0,7.0,8.0,9.0,1.0,9.0,0.0,7.0,6.0,9.0,9.0,9.0,3.0,8.0,6.0,8.0,7.0,8.0,5.0,9.0,9.0,9.0,9.0,5.0,4.0,3.0,7.0,9.0,7.0,8.0,8.0,9.0,7.0,5.0,10.0,9.0,10.0,8.0,7.0,8.0,9.0,5.0,3.0,7.0,10.0,10.0,7.0,8.0,9.0,9.0,8.0,6.0,9.0,4.0,7.0,7.0,9.0,10.0,5.0,6.0,6.0,7.0,9.0,10.0,9.0,7.0,8.0,7.0,7.0,5.0,8.0,7.0,6.0
Caridea,10.0,9.0,9.0,9.0,7.0,6.0,3.0,10.0,9.0,10.0,6.0,10.0,7.0,0.0,7.0,4.0,4.0,10.0,6.0,9.0,9.0,9.0,10.0,9.0,6.0,10.0,2.0,10.0,10.0,6.0,9.0,6.0,8.0,10.0,8.0,9.0,9.0,10.0,2.0,10.0,11.0,10.0,11.0,3.0,4.0,9.0,10.0,8.0,6.0,10.0,3.0,3.0,10.0,9.0,10.0,4.0,9.0,9.0,10.0,5.0,10.0,10.0,10.0,11.0,10.0,7.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,6.0,9.0,8.0,7.0
Ceriantharia,9.0,8.0,6.0,4.0,2.0,5.0,6.0,9.0,8.0,9.0,5.0,7.0,6.0,7.0,0.0,9.0,9.0,5.0,5.0,8.0,8.0,8.0,9.0,6.0,5.0,7.0,9.0,9.0,7.0,5.0,8.0,5.0,3.0,7.0,5.0,4.0,6.0,5.0,7.0,9.0,10.0,5.0,10.0,8.0,7.0,8.0,9.0,7.0,5.0,9.0,10.0,10.0,9.0,6.0,7.0,9.0,6.0,8.0,7.0,4.0,9.0,9.0,7.0,10.0,9.0,2.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0,9.0,7.0,5.0,6.0,7.0,2.0
Chionoecetes tanneri,12.0,11.0,11.0,11.0,9.0,8.0,5.0,12.0,11.0,12.0,8.0,12.0,9.0,4.0,9.0,0.0,6.0,12.0,8.0,11.0,11.0,11.0,12.0,11.0,8.0,12.0,6.0,12.0,12.0,8.0,11.0,8.0,10.0,12.0,10.0,11.0,11.0,12.0,4.0,12.0,13.0,12.0,13.0,5.0,6.0,11.0,12.0,10.0,8.0,12.0,7.0,7.0,12.0,11.0,12.0,6.0,11.0,11.0,12.0,7.0,12.0,12.0,12.0,13.0,12.0,9.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,11.0,10.0,9.0
Chorilia longipes,12.0,11.0,11.0,11.0,9.0,8.0,5.0,12.0,11.0,12.0,8.0,12.0,9.0,4.0,9.0,6.0,0.0,12.0,8.0,11.0,11.0,11.0,12.0,11.0,8.0,12.0,6.0,12.0,12.0,8.0,11.0,8.0,10.0,12.0,10.0,11.0,11.0,12.0,4.0,12.0,13.0,12.0,13.0,5.0,6.0,11.0,12.0,10.0,8.0,12.0,7.0,7.0,12.0,11.0,12.0,6.0,11.0,11.0,12.0,7.0,12.0,12.0,12.0,13.0,12.0,9.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,11.0,10.0,9.0
Corallimorphus pilatus,12.0,11.0,9.0,7.0,5.0,8.0,9.0,12.0,11.0,12.0,8.0,10.0,9.0,10.0,5.0,12.0,12.0,0.0,8.0,11.0,11.0,11.0,12.0,9.0,8.0,10.0,12.0,12.0,10.0,8.0,11.0,8.0,6.0,10.0,8.0,7.0,9.0,8.0,10.0,12.0,13.0,8.0,13.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,9.0,10.0,12.0,9.0,11.0,10.0,7.0,12.0,12.0,10.0,13.0,12.0,5.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,9.0,10.0,5.0
Crinoidea,6.0,7.0,7.0,7.0,5.0,4.0,5.0,6.0,7.0,8.0,2.0,8.0,3.0,6.0,5.0,8.0,8.0,8.0,0.0,7.0,5.0,7.0,4.0,7.0,4.0,8.0,8.0,8.0,8.0,4.0,5.0,2.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,4.0,2.0,6.0,9.0,9.0,6.0,7.0,8.0,8.0,7.0,5.0,8.0,3.0,4.0,6.0,8.0,9.0,6.0,5.0,5.0,6.0,8.0,9.0,8.0,6.0,7.0,6.0,6.0,4.0,7.0,6.0,5.0
Delectopecten,11.0,10.0,10.0,10.0,8.0,7.0,8.0,11.0,10.0,11.0,7.0,11.0,8.0,9.0,8.0,11.0,11.0,11.0,7.0,0.0,10.0,10.0,11.0,10.0,5.0,11.0,11.0,11.0,11.0,7.0,10.0,7.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,12.0,11.0,12.0,10.0,9.0,10.0,9.0,9.0,7.0,11.0,12.0,12.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,6.0,11.0,11.0,11.0,12.0,11.0,8.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,7.0,10.0,5.0,8.0
Elpidia,7.0,10.0,10.0,10.0,8.0,7.0,8.0,7.0,10.0,11.0,5.0,11.0,6.0,9.0,8.0,11.0,11.0,11.0,5.0,10.0,0.0,10.0,9.0,10.0,7.0,11.0,11.0,11.0,11.0,7.0,8.0,3.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,12.0,11.0,12.0,10.0,9.0,10.0,11.0,7.0,5.0,7.0,12.0,12.0,5.0,10.0,11.0,11.0,10.0,2.0,11.0,6.0,9.0,7.0,11.0,12.0,9.0,8.0,2.0,3.0,11.0,12.0,11.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,8.0
Farrea,11.0,6.0,10.0,10.0,8.0,7.0,8.0,11.0,8.0,9.0,7.0,11.0,8.0,9.0,8.0,11.0,11.0,11.0,7.0,10.0,10.0,0.0,11.0,10.0,7.0,11.0,11.0,5.0,11.0,3.0,10.0,7.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,12.0,11.0,12.0,10.0,9.0,8.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,4.0,11.0,11.0,11.0,12.0,11.0,8.0,10.0,11.0,11.0,12.0,11.0,9.0,6.0,11.0,9.0,7.0,10.0,9.0,8.0
Florometra serratissima,10.0,11.0,11.0,11.0,9.0,8.0,9.0,10.0,11.0,12.0,6.0,12.0,7.0,10.0,9.0,12.0,12.0,12.0,4.0,11.0,9.0,11.0,0.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,9.0,6.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,10.0,13.0,13.0,10.0,11.0,12.0,12.0,11.0,9.0,12.0,7.0,6.0,10.0,12.0,13.0,10.0,9.0,9.0,10.0,12.0,13.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0
Funiculina,11.0,10.0,4.0,8.0,6.0,7.0,8.0,11.0,10.0,11.0,7.0,9.0,8.0,9.0,6.0,11.0,11.0,9.0,7.0,10.0,10.0,10.0,11.0,0.0,7.0,7.0,11.0,11.0,5.0,7.0,10.0,7.0,7.0,5.0,5.0,8.0,4.0,9.0,9.0,11.0,12.0,9.0,12.0,10.0,9.0,10.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,4.0,5.0,11.0,4.0,10.0,5.0,6.0,11.0,11.0,9.0,12.0,11.0,6.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,7.0,4.0,9.0,6.0
Gastropoda,8.0,7.0,7.0,7.0,5.0,4.0,5.0,8.0,7.0,8.0,4.0,8.0,5.0,6.0,5.0,8.0,8.0,8.0,4.0,5.0,7.0,7.0,8.0,7.0,0.0,8.0,8.0,8.0,8.0,4.0,7.0,4.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,8.0,9.0,8.0,9.0,7.0,6.0,7.0,6.0,6.0,4.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,3.0,8.0,8.0,8.0,9.0,8.0,5.0,7.0,8.0,8.0,9.0,8.0,6.0,7.0,8.0,6.0,4.0,7.0,4.0,5.0
Gersemia juliepackardae,12.0,11.0,7.0,9.0,7.0,8.0,9.0,12.0,11.0,12.0,8.0,10.0,9.0,10.0,7.0,12.0,12.0,10.0,8.0,11.0,11.0,11.0,12.0,7.0,8.0,0.0,12.0,12.0,8.0,8.0,11.0,8.0,8.0,8.0,4.0,9.0,7.0,10.0,10.0,12.0,13.0,10.0,13.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,7.0,8.0,12.0,7.0,11.0,8.0,7.0,12.0,12.0,10.0,13.0,12.0,7.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,7.0,10.0,7.0
Heterocarpus,12.0,11.0,11.0,11.0,9.0,8.0,5.0,12.0,11.0,12.0,8.0,12.0,9.0,2.0,9.0,6.0,6.0,12.0,8.0,11.0,11.0,11.0,12.0,11.0,8.0,12.0,0.0,12.0,12.0,8.0,11.0,8.0,10.0,12.0,10.0,11.0,11.0,12.0,4.0,12.0,13.0,12.0,13.0,5.0,6.0,11.0,12.0,10.0,8.0,12.0,3.0,3.0,12.0,11.0,12.0,6.0,11.0,11.0,12.0,7.0,12.0,12.0,12.0,13.0,12.0,9.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,11.0,10.0,9.0
Heterochone calyx,12.0,7.0,11.0,11.0,9.0,8.0,9.0,12.0,9.0,10.0,8.0,12.0,9.0,10.0,9.0,12.0,12.0,12.0,8.0,11.0,11.0,5.0,12.0,11.0,8.0,12.0,12.0,0.0,12.0,4.0,11.0,8.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,12.0,13.0,12.0,13.0,11.0,10.0,9.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,5.0,12.0,12.0,12.0,13.0,12.0,9.0,11.0,12.0,12.0,13.0,12.0,10.0,7.0,12.0,10.0,8.0,11.0,10.0,9.0
Heteropolypus ritteri,12.0,11.0,5.0,9.0,7.0,8.0,9.0,12.0,11.0,12.0,8.0,10.0,9.0,10.0,7.0,12.0,12.0,10.0,8.0,11.0,11.0,11.0,12.0,5.0,8.0,8.0,12.0,12.0,0.0,8.0,11.0,8.0,8.0,6.0,6.0,9.0,5.0,10.0,10.0,12.0,13.0,10.0,13.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,3.0,4.0,12.0,5.0,11.0,6.0,7.0,12.0,12.0,10.0,13.0,12.0,7.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,5.0,10.0,7.0
Hexactinellida,8.0,3.0,7.0,7.0,5.0,4.0,5.0,8.0,5.0,6.0,4.0,8.0,5.0,6.0,5.0,8.0,8.0,8.0,4.0,7.0,7.0,3.0,8.0,7.0,4.0,8.0,8.0,4.0,8.0,0.0,7.0,4.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,8.0,9.0,8.0,9.0,7.0,6.0,5.0,8.0,6.0,4.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,1.0,8.0,8.0,8.0,9.0,8.0,5.0,7.0,8.0,8.0,9.0,8.0,6.0,3.0,8.0,6.0,4.0,7.0,6.0,5.0
Hippasteria,9.0,10.0,10.0,10.0,8.0,7.0,8.0,9.0,10.0,11.0,3.0,11.0,4.0,9.0,8.0,11.0,11.0,11.0,5.0,10.0,8.0,10.0,9.0,10.0,7.0,11.0,11.0,11.0,11.0,7.0,0.0,5.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,3.0,12.0,11.0,12.0,10.0,9.0,10.0,11.0,7.0,5.0,9.0,12.0,12.0,9.0,10.0,11.0,11.0,10.0,8.0,11.0,6.0,9.0,9.0,11.0,12.0,7.0,8.0,8.0,9.0,11.0,12.0,11.0,9.0,10.0,9.0,9.0,7.0,10.0,9.0,8.0
Holothuroidea,4.0,7.0,7.0,7.0,5.0,4.0,5.0,4.0,7.0,8.0,2.0,8.0,3.0,6.0,5.0,8.0,8.0,8.0,2.0,7.0,3.0,7.0,6.0,7.0,4.0,8.0,8.0,8.0,8.0,4.0,5.0,0.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,6.0,9.0,8.0,9.0,7.0,6.0,7.0,8.0,4.0,2.0,4.0,9.0,9.0,4.0,7.0,8.0,8.0,7.0,3.0,8.0,3.0,6.0,4.0,8.0,9.0,6.0,5.0,3.0,4.0,8.0,9.0,8.0,6.0,7.0,6.0,6.0,4.0,7.0,6.0,5.0
Hormathiidae,10.0,9.0,7.0,3.0,1.0,6.0,7.0,10.0,9.0,10.0,6.0,8.0,7.0,8.0,3.0,10.0,10.0,6.0,6.0,9.0,9.0,9.0,10.0,7.0,6.0,8.0,10.0,10.0,8.0,6.0,9.0,6.0,0.0,8.0,6.0,3.0,7.0,4.0,8.0,10.0,11.0,4.0,11.0,9.0,8.0,9.0,10.0,8.0,6.0,10.0,11.0,11.0,10.0,7.0,8.0,10.0,7.0,9.0,8.0,5.0,10.0,10.0,8.0,11.0,10.0,3.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,6.0,7.0,8.0,3.0
Isidella tentaculum,12.0,11.0,5.0,9.0,7.0,8.0,9.0,12.0,11.0,12.0,8.0,10.0,9.0,10.0,7.0,12.0,12.0,10.0,8.0,11.0,11.0,11.0,12.0,5.0,8.0,8.0,12.0,12.0,6.0,8.0,11.0,8.0,8.0,0.0,6.0,9.0,3.0,10.0,10.0,12.0,13.0,10.0,13.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,5.0,6.0,12.0,5.0,11.0,6.0,7.0,12.0,12.0,10.0,13.0,12.0,7.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,5.0,10.0,7.0
Isididae,10.0,9.0,5.0,7.0,5.0,6.0,7.0,10.0,9.0,10.0,6.0,8.0,7.0,8.0,5.0,10.0,10.0,8.0,6.0,9.0,9.0,9.0,10.0,5.0,6.0,4.0,10.0,10.0,6.0,6.0,9.0,6.0,6.0,6.0,0.0,7.0,5.0,8.0,8.0,10.0,11.0,8.0,11.0,9.0,8.0,9.0,10.0,8.0,6.0,10.0,11.0,11.0,10.0,5.0,6.0,10.0,5.0,9.0,6.0,5.0,10.0,10.0,8.0,11.0,10.0,5.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,6.0,5.0,8.0,5.0
Isosicyonis,11.0,10.0,8.0,4.0,2.0,7.0,8.0,11.0,10.0,11.0,7.0,9.0,8.0,9.0,4.0,11.0,11.0,7.0,7.0,10.0,10.0,10.0,11.0,8.0,7.0,9.0,11.0,11.0,9.0,7.0,10.0,7.0,3.0,9.0,7.0,0.0,8.0,5.0,9.0,11.0,12.0,5.0,12.0,10.0,9.0,10.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,8.0,9.0,11.0,8.0,10.0,9.0,6.0,11.0,11.0,9.0,12.0,11.0,4.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,7.0,8.0,9.0,4.0
Keratoisis,11.0,10.0,4.0,8.0,6.0,7.0,8.0,11.0,10.0,11.0,7.0,9.0,8.0,9.0,6.0,11.0,11.0,9.0,7.0,10.0,10.0,10.0,11.0,4.0,7.0,7.0,11.0,11.0,5.0,7.0,10.0,7.0,7.0,3.0,5.0,8.0,0.0,9.0,9.0,11.0,12.0,9.0,12.0,10.0,9.0,10.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,4.0,5.0,11.0,4.0,10.0,5.0,6.0,11.0,11.0,9.0,12.0,11.0,6.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,7.0,4.0,9.0,6.0
Liponema brevicorne,12.0,11.0,9.0,5.0,3.0,8.0,9.0,12.0,11.0,12.0,8.0,10.0,9.0,10.0,5.0,12.0,12.0,8.0,8.0,11.0,11.0,11.0,12.0,9.0,8.0,10.0,12.0,12.0,10.0,8.0,11.0,8.0,4.0,10.0,8.0,5.0,9.0,0.0,10.0,12.0,13.0,6.0,13.0,11.0,10.0,11.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,9.0,10.0,12.0,9.0,11.0,10.0,7.0,12.0,12.0,10.0,13.0,12.0,5.0,11.0,12.0,12.0,13.0,12.0,10.0,11.0,12.0,10.0,8.0,9.0,10.0,5.0
